DATE,ATM,Cash
2/5/2010 12:00:00 AM,ATM1,138
2/5/2010 12:00:00 AM,ATM2,97
2/6/2010 12:00:00 AM,ATM1,74
2/6/2010 12:00:00 AM,ATM2,60
2/7/2010 12:00:00 AM,ATM1,85
2/7/2010 12:00:00 AM,ATM2,27
2/8/2010 12:00:00 AM,ATM1,78
2/8/2010 12:00:00 AM,ATM2,74
2/9/2010 12:00:00 AM,ATM1,123
2/9/2010 12:00:00 AM,ATM2,45
2/10/2010 12:00:00 AM,ATM1,50
2/10/2010 12:00:00 AM,ATM2,26
2/11/2010 12:00:00 AM,ATM1,28
2/11/2010 12:00:00 AM,ATM2,2
2/12/2010 12:00:00 AM,ATM1,105
2/12/2010 12:00:00 AM,ATM2,73
2/13/2010 12:00:00 AM,ATM1,109
2/13/2010 12:00:00 AM,ATM2,48
2/14/2010 12:00:00 AM,ATM1,26
2/14/2010 12:00:00 AM,ATM2,9
2/15/2010 12:00:00 AM,ATM1,54
2/15/2010 12:00:00 AM,ATM2,25
2/16/2010 12:00:00 AM,ATM1,105
2/16/2010 12:00:00 AM,ATM2,58
2/17/2010 12:00:00 AM,ATM1,179
2/17/2010 12:00:00 AM,ATM2,110
2/18/2010 12:00:00 AM,ATM1,125
2/18/2010 12:00:00 AM,ATM2,94
2/19/2010 12:00:00 AM,ATM1,84
2/19/2010 12:00:00 AM,ATM2,25
2/20/2010 12:00:00 AM,ATM1,99
2/20/2010 12:00:00 AM,ATM2,101
2/21/2010 12:00:00 AM,ATM1,110
2/21/2010 12:00:00 AM,ATM2,77
2/22/2010 12:00:00 AM,ATM1,80
2/22/2010 12:00:00 AM,ATM2,6
2/23/2010 12:00:00 AM,ATM1,1
2/23/2010 12:00:00 AM,ATM2,3
2/24/2010 12:00:00 AM,ATM1,111
2/24/2010 12:00:00 AM,ATM2,99
2/25/2010 12:00:00 AM,ATM1,115
2/25/2010 12:00:00 AM,ATM2,86
2/26/2010 12:00:00 AM,ATM1,108
2/26/2010 12:00:00 AM,ATM2,20
2/27/2010 12:00:00 AM,ATM1,100
2/27/2010 12:00:00 AM,ATM2,72
