,close,high,low,open,time,volumefrom,volumeto,timestamp
1443,6324.81,6328.69,6321.69,6324.83,1530467700,11.28,71526.53,2018-07-01 13:55:00
1444,6323.96,6327.41,6319.45,6324.81,1530467760,14.18,89960.46,2018-07-01 13:56:00
1445,6323.5,6325.45,6319.62,6323.96,1530467820,24.26,153659.24,2018-07-01 13:57:00
1446,6319.09,6324.98,6318.35,6323.5,1530467880,15.11,95806.71,2018-07-01 13:58:00
1447,6326.26,6326.26,6318.52,6319.09,1530467940,14.45,91509.37,2018-07-01 13:59:00
1448,6320.22,6328.21,6319.3,6326.26,1530468000,18.48,117374.62,2018-07-01 14:00:00
1449,6319.39,6325.94,6319.18,6320.21,1530468060,11.05,69965.27,2018-07-01 14:01:00
1450,6324.87,6326.3,6318.67,6319.38,1530468120,17.73,112301.75,2018-07-01 14:02:00
1451,6326.87,6327.22,6319.02,6324.87,1530468180,11.78,74838.85,2018-07-01 14:03:00
1452,6322.75,6326.87,6320.14,6326.87,1530468240,19.25,121849.43,2018-07-01 14:04:00
1453,6323.51,6327.45,6318.67,6322.48,1530468300,11.96,75941.03,2018-07-01 14:05:00
1454,6324.17,6324.72,6318.94,6323.51,1530468360,15.79,99969.39,2018-07-01 14:06:00
1455,6319.06,6324.45,6319.06,6324.17,1530468420,9.59,60994.54,2018-07-01 14:07:00
1456,6326.26,6326.26,6319.06,6319.06,1530468480,13.33,84425.33,2018-07-01 14:08:00
1457,6322.81,6326.62,6319.32,6326.26,1530468540,12.27,77753.6,2018-07-01 14:09:00
1458,6321.73,6327.89,6320.31,6322.83,1530468600,10.0,63540.03,2018-07-01 14:10:00
1459,6324.0,6327.32,6321.67,6321.84,1530468660,9.61,60892.55,2018-07-01 14:11:00
1460,6321.05,6325.43,6319.06,6324.0,1530468720,14.53,92346.35,2018-07-01 14:12:00
1461,6320.47,6324.91,6315.42,6321.05,1530468780,22.38,142174.47,2018-07-01 14:13:00
1462,6319.16,6323.75,6317.17,6320.47,1530468840,9.87,62989.98,2018-07-01 14:14:00
1463,6323.99,6324.31,6317.66,6319.16,1530468900,12.0,76012.78,2018-07-01 14:15:00
1464,6325.03,6325.06,6319.1,6324.14,1530468960,14.51,91244.76,2018-07-01 14:16:00
1465,6316.44,6325.09,6316.44,6324.97,1530469020,10.86,68961.28,2018-07-01 14:17:00
1466,6316.94,6322.98,6316.39,6317.1,1530469080,14.13,89504.97,2018-07-01 14:18:00
1467,6329.04,6329.88,6316.86,6316.94,1530469140,20.3,128969.37,2018-07-01 14:19:00
1468,6327.2,6329.09,6323.11,6329.04,1530469200,12.29,77860.09,2018-07-01 14:20:00
1469,6319.89,6327.83,6319.31,6327.21,1530469260,11.69,74204.13,2018-07-01 14:21:00
1470,6328.26,6328.71,6319.74,6319.89,1530469320,15.47,98268.15,2018-07-01 14:22:00
1471,6319.52,6328.34,6318.13,6328.26,1530469380,9.96,63051.9,2018-07-01 14:23:00
1472,6324.43,6324.89,6317.62,6318.43,1530469440,9.8,61988.27,2018-07-01 14:24:00
1473,6326.1,6326.1,6317.54,6324.43,1530469500,8.51,53762.86,2018-07-01 14:25:00
1474,6326.93,6326.98,6317.8,6326.1,1530469560,24.69,156344.16,2018-07-01 14:26:00
1475,6324.18,6327.25,6319.51,6326.97,1530469620,13.76,87522.5,2018-07-01 14:27:00
1476,6323.29,6326.47,6317.66,6324.22,1530469680,13.73,87129.03,2018-07-01 14:28:00
1477,6321.57,6324.27,6321.2,6323.29,1530469740,13.74,86894.26,2018-07-01 14:29:00
1478,6317.06,6324.14,6317.01,6321.57,1530469800,8.62,54657.3,2018-07-01 14:30:00
1479,6318.28,6326.21,6316.85,6317.09,1530469860,16.86,107136.88,2018-07-01 14:31:00
1480,6324.01,6325.05,6317.38,6318.28,1530469920,11.16,70709.01,2018-07-01 14:32:00
1481,6314.24,6324.81,6314.24,6324.81,1530469980,61.09,386346.83,2018-07-01 14:33:00
1482,6318.69,6324.6,6315.24,6316.41,1530470040,24.92,157989.87,2018-07-01 14:34:00
1483,6318.01,6323.49,6317.4,6318.69,1530470100,18.34,115986.5,2018-07-01 14:35:00
1484,6312.41,6319.36,6308.22,6318.01,1530470160,6.52,40844.87,2018-07-01 14:36:00
1485,6310.5,6312.69,6306.84,6312.41,1530470220,13.02,82143.96,2018-07-01 14:37:00
1486,6306.78,6316.48,6305.71,6310.5,1530470280,22.68,145003.75,2018-07-01 14:38:00
1487,6315.19,6318.33,6308.53,6309.42,1530470340,15.6,98558.18,2018-07-01 14:39:00
1488,6315.78,6318.18,6310.07,6315.18,1530470400,10.62,67172.49,2018-07-01 14:40:00
1489,6314.15,6320.71,6312.97,6315.89,1530470460,25.22,160557.57,2018-07-01 14:41:00
1490,6314.03,6320.67,6312.37,6314.15,1530470520,32.82,207316.1,2018-07-01 14:42:00
1491,6319.83,6320.81,6312.19,6314.03,1530470580,34.33,217200.68,2018-07-01 14:43:00
1492,6316.18,6320.3,6310.23,6319.83,1530470640,14.79,93506.82,2018-07-01 14:44:00
1493,6316.39,6321.91,6313.62,6316.07,1530470700,14.42,91127.4,2018-07-01 14:45:00
1494,6314.3,6317.35,6310.94,6317.35,1530470760,7.0,44365.62,2018-07-01 14:46:00
1495,6314.33,6320.56,6312.78,6314.14,1530470820,17.26,109428.5,2018-07-01 14:47:00
1496,6310.83,6315.91,6309.84,6314.26,1530470880,10.8,68601.3,2018-07-01 14:48:00
1497,6321.24,6321.36,6309.84,6310.81,1530470940,16.88,106702.38,2018-07-01 14:49:00
1498,6315.58,6321.6,6310.35,6321.24,1530471000,8.52,53961.13,2018-07-01 14:50:00
1499,6313.79,6320.42,6310.02,6315.58,1530471060,23.21,146663.95,2018-07-01 14:51:00
1500,6318.0,6318.42,6307.81,6313.79,1530471120,10.54,66771.72,2018-07-01 14:52:00
1501,6313.39,6318.58,6308.45,6317.97,1530471180,14.16,89765.34,2018-07-01 14:53:00
1502,6312.26,6316.76,6308.67,6313.11,1530471240,13.63,86461.0,2018-07-01 14:54:00
1503,6313.11,6318.42,6310.23,6311.72,1530471300,9.8,61974.44,2018-07-01 14:55:00
1504,6308.68,6317.3,6307.2,6313.11,1530471360,20.02,126400.02,2018-07-01 14:56:00
1505,6307.35,6313.85,6306.25,6308.68,1530471420,35.96,227231.62,2018-07-01 14:57:00
1506,6312.05,6317.64,6307.08,6307.34,1530471480,12.87,81567.0,2018-07-01 14:58:00
1507,6314.14,6316.59,6306.96,6312.05,1530471540,15.14,95983.67,2018-07-01 14:59:00
1508,6312.47,6316.13,6307.66,6314.14,1530471600,19.11,120716.65,2018-07-01 15:00:00
1509,6311.8,6317.77,6311.29,6312.42,1530471660,13.29,83960.18,2018-07-01 15:01:00
1510,6312.24,6317.73,6308.07,6311.8,1530471720,21.3,134641.99,2018-07-01 15:02:00
1511,6315.5,6316.55,6308.9,6312.24,1530471780,20.8,131880.12,2018-07-01 15:03:00
1512,6314.62,6315.72,6307.84,6315.72,1530471840,12.49,79427.06,2018-07-01 15:04:00
1513,6309.25,6318.24,6309.04,6314.62,1530471900,12.96,82011.67,2018-07-01 15:05:00
1514,6311.93,6313.41,6307.07,6309.25,1530471960,16.43,103605.97,2018-07-01 15:06:00
